Hogar;Persona;Viaje;Etapa;ZonaOrigen;ZonaDestino;ComunaOrigen;ComunaDestino;OrigenCoordX;OrigenCoordY;DestinoCoordX;DestinoCoordY;Modo;CuadrasAntes;MinutosAntes;Autopistas;NoUsaAutopistas;Estaciona;CostoEstacionamiento;FormaPago;EstacionTrenIni;EstacionTrenFin;TarifaTren;RecorridoTransantiago;TiempoEsperaTstgo;TiempoEsperaBus;BusesPerdidos;TarifaBusNoTransantiago;EstacionMetroIni;EstacionMetroFin;HorarioMetro;MetrosPerdidos;EstacionMetroCambio;RecorridoTxc;TiempoEsperaTxc;TarifaTxc;TiempoEsperaTaxi;TarifaTaxi;PropiedadBicicleta;UsaCiclovia;CirculacionBicicleta;EstacionaBicicleta;ModoEstacionaBicicleta;UsoHabitualBicicleta
100010;10001001;1000100101;10001001011;786;786;103;103;335180,8125;6266421;335198,1563;6266360;8;0;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;
100010;10001001;1000100102;10001001021;786;786;103;103;335198,1563;6266360;335180,8125;6266421;8;0;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;
100010;10001002;1000100201;10001002011;786;786;103;103;335180,8125;6266421;335389,9688;6266277;8;0;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;
100010;10001002;1000100202;10001002021;786;786;103;103;335389,9688;6266277;335409,25;6266313,5;8;0;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;
100010;10001002;1000100203;10001002031;786;786;103;103;335409,25;6266313,5;335180,8125;6266421;8;0;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;
100010;10001002;1000100204;10001002041;786;786;103;103;335180,8125;6266421;334929,6875;6266047,5;8;0;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;
100010;10001002;1000100205;10001002051;786;786;103;103;334929,6875;6266047,5;335180,8125;6266421;8;0;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;
100020;10002001;1000200101;10002001011;785;786;103;103;338410,2188;6265607;339168,3125;6266155,5;8;0;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;
100020;10002001;1000200102;10002001021;786;785;103;103;339168,3125;6266155,5;338389,6563;6264895;8;0;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;
100020;10002001;1000200103;10002001031;785;785;103;103;;;;;8;0;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;
