Hogar;Persona;AnoNac;Sexo;Relacion;Viajes;LicenciaConducir;PaseEscolar;AdultoMayor;Estudios;Curso;Actividad;Ocupacion;ActividadEmpresa;JornadaTrabajo;DondeEstudia;DirActividadCoordX;DirActividadCoordY;DirEstudiosCoordX;DirEstudiosCoordY;NoViaja;TarjetaBip;Tarjeta2Bip;MedioViajeRestricion;ConoceTransantiago;NoUsaTransantiago;Discapacidad;TieneIngresos;Ingreso;TramoIngreso;IngresoFinal;TramoIngresoFinal;IngresoImputado;Factor_LaboralNormal;Factor_SabadoNormal;Factor_DomingoNormal;Factor_LaboralEstival;Factor_FindesemanaEstival;Factor
100010;10001001;1958;1;1;2;3;2;2;4;8;A;5;5;1;;338327,6800;6264794,3284;;;;;;;2;G;J;1;240000;2;240000;2;0;;;1668,26000;;;82,58553
100010;10001002;1956;2;2;5;1;2;2;5;1;D;;;;;;;;;;;;;2;G;J;2;0;0;0;0;0;;;852,11370;;;99,53422
100010;10001003;1982;2;3;0;1;2;2;7;4;A;5;5;1;;;;;;4;99;;;1;H;J;1;99;2;210845;2;2;;;1609,16300;;;151,59367
100020;10002001;1954;1;1;4;3;2;2;4;8;C;;;;;;;;;;3677166;;;1;H;I;1;133000;1;133000;1;0;169,50230;;;;;45,21325
100020;10002002;1961;2;2;2;1;2;2;4;8;A;5;1;1;;337428,2696;6265980,7179;;;;;;;2;H;J;1;193000;1;193000;1;0;43,26765;;;;;25,62248
100020;10002003;1977;1;3;2;3;2;2;7;4;A;5;1;1;;323492,9786;6264121,9010;;;;;;11;2;G;J;1;99;2;235515;2;2;72,31979;;;;;31,93423
100020;10002004;1981;1;3;2;5;2;2;5;4;A;5;1;1;;336695,8687;6265913,3202;;;;;;;2;G;J;1;99;2;330258;2;2;72,31979;;;;;31,93423
100020;10002005;1995;1;4;5;1;1;2;7;4;"A;B";5;1;1;6;340541,8591;6265858,7031;338936,3321;6266321,2827;;;;;2;G;J;1;99;1;127596;1;2;61,54337;;;;;31,18919
100030;10003001;1933;1;1;2;1;2;2;4;7;C;;;;;;;;;;99;;;1;H;J;1;80000;1;80000;1;0;88,33683;;;;;107,35878
100041;10004101;1945;2;1;2;1;2;2;6;6;C;;;;;;;;;;99;;;1;H;J;1;99;1;57958;1;2;107,43560;;;;;81,54625
100041;10004102;1965;1;4;2;1;1;2;5;4;A;5;1;1;;327584,3287;6256911,9092;;;;;;;1;B;J;1;99;2;349478;2;2;150,06750;;;;;100,38986
100041;10004103;1971;2;4;2;1;2;2;5;4;D;;;;;;;;;;99;;;1;H;J;2;0;0;0;0;0;121,38220;;;;;106,26012
100041;10004104;1991;1;4;2;1;2;2;7;4;A;5;5;1;;332841,1123;6262320,1249;;;;;;;1;E;J;1;99;1;151823;1;2;107,43560;;;;;102,84003
100041;10004105;1993;1;4;2;1;1;2;9;1;B;;;;6;;;351407,6500;6290063,1000;;99;;;;;J;2;0;0;0;0;0;107,43560;;;;;102,84003
100052;10005201;1966;1;1;2;1;2;2;5;4;A;5;5;1;;345701,2800;6298888,8800;;;;99;;;1;H;J;1;99;3;710309;3;2;72,34247;;;;;66,07631
100052;10005202;1987;2;3;0;1;1;2;10;2;B;;;;7;;;;;6;99;;;1;"B;H";J;2;0;0;0;0;0;134,38860;;;;;121,28930
100052;10005203;2006;2;4;2;1;2;2;4;1;B;;;;4;;;338834,0944;6266481,2868;;;;;2;G;J;2;0;0;0;0;0;103,75430;;;;;97,72949
100061;10006101;1952;2;1;0;1;2;2;4;6;D;;;;;;;;;3;;;;2;G;J;2;0;0;0;0;0;103,65290;;;;;79,63686
